dataset,trees,max_depth,min_samples,mtry,mean_test_acc,std_test_acc,min_test_acc,mean_train_acc,mean_train_s
letter-recog,100,12,2,2,0.8777333333333334,0.001049867716534896,0.8768,0.9258000000000001,0.18728
letter-recog,100,12,2,4,0.8858333333333333,0.005892556509887927,0.8775,0.9274333333333332,0.3272333333333333
letter-recog,100,12,2,6,0.8864333333333333,0.005225790742929631,0.88,0.9238666666666666,0.48351700000000003
letter-recog,100,12,2,8,0.8791333333333333,0.0016996731711975965,0.8768,0.9165666666666666,0.6212403333333333
letter-recog,100,12,5,2,0.8787666666666666,0.004120140234938047,0.875,0.9233333333333333,0.18321333333333334
letter-recog,100,12,5,4,0.8873333333333333,0.0026246692913372725,0.885,0.9271333333333334,0.337664
letter-recog,100,12,5,6,0.8876666666666667,0.00464279609239471,0.883,0.9231666666666666,0.49517833333333333
letter-recog,100,12,5,8,0.8773333333333334,0.005548172872416841,0.8698,0.9150999999999999,0.638545
letter-recog,100,20,2,2,0.9581,0.0022992752481307763,0.956,0.9992333333333333,0.24303566666666665
letter-recog,100,20,2,4,0.959,0.002839013913315656,0.9567,0.9995666666666666,0.42238266666666663
letter-recog,100,20,2,6,0.9564333333333334,0.0023683092891108926,0.9535,0.9994999999999999,0.5976023333333333
letter-recog,100,20,2,8,0.9551666666666666,0.002718251071716659,0.9515,0.9995666666666666,0.791442
letter-recog,100,20,5,2,0.9526333333333333,0.0012472191289246482,0.9513,0.9982000000000001,0.23937833333333333
letter-recog,100,20,5,4,0.9565666666666667,0.0027824849006279017,0.9545,0.9987666666666667,0.41710733333333333
letter-recog,100,20,5,6,0.9546,0.002687005768508911,0.952,0.9986333333333334,0.618984
letter-recog,100,20,5,8,0.9522,0.0049010203019371435,0.9463,0.9986333333333333,0.7918630000000001
letter-recog,100,30,2,2,0.9598999999999999,0.0029698484809834867,0.9557,0.9999333333333333,0.2749473333333334
letter-recog,100,30,2,4,0.9612333333333334,0.001426728970602161,0.9593,0.9999666666666668,0.4635993333333333
letter-recog,100,30,2,6,0.9598,0.00280832096931009,0.956,1.0,0.6591583333333334
letter-recog,100,30,2,8,0.9583333333333334,0.0027182510717166726,0.9545,1.0,0.823858
letter-recog,100,30,5,2,0.9579333333333334,0.0007586537784493712,0.9573,0.9995666666666666,0.2674256666666666
letter-recog,100,30,5,4,0.9595333333333333,0.0024716166549222144,0.9563,0.9996333333333333,0.4532260000000001
letter-recog,100,30,5,6,0.9587666666666667,0.00338755893757666,0.9543,0.9997000000000001,0.6712406666666667
letter-recog,100,30,5,8,0.9557666666666668,0.0018372685039361265,0.954,0.9996333333333333,0.8305816666666667
letter-recog,200,12,2,2,0.8826666666666667,0.001359738536958064,0.8808,0.9311666666666666,0.38794966666666664
letter-recog,200,12,2,4,0.8919333333333334,0.0022528993664954317,0.8888,0.9326666666666666,0.695532
letter-recog,200,12,2,6,0.8911000000000001,0.003909816704996098,0.886,0.9268333333333333,0.965461
letter-recog,200,12,2,8,0.8819333333333333,0.0061026405942200025,0.8738,0.9184333333333333,1.2913336666666666
letter-recog,200,12,5,2,0.8854000000000001,0.002889059824002726,0.8822,0.9298000000000001,0.3883753333333333
letter-recog,200,12,5,4,0.8917333333333334,0.0023113247764479693,0.89,0.9326666666666666,0.6779246666666667
letter-recog,200,12,5,6,0.8878666666666667,0.005342492135906452,0.8818,0.9254666666666668,1.033478
letter-recog,200,12,5,8,0.8812666666666668,0.00570457905740839,0.875,0.9182666666666667,1.2876683333333334
letter-recog,200,20,2,2,0.9594333333333335,0.0014727148022916534,0.9577,0.9992666666666666,0.5011346666666666
letter-recog,200,20,2,4,0.9611666666666666,0.002248456260538654,0.9585,0.9996333333333333,0.8503193333333333
letter-recog,200,20,2,6,0.9575666666666667,0.00276325090347505,0.9547,0.9996,1.2106830000000002
letter-recog,200,20,2,8,0.9565666666666667,0.0023683092891108926,0.9537,0.9995333333333334,1.5466733333333333
letter-recog,200,20,5,2,0.9545666666666666,0.0008013876853447703,0.954,0.9982666666666667,0.5000666666666667
letter-recog,200,20,5,4,0.9588333333333333,0.0015456030825826026,0.9575,0.9990333333333333,0.8358346666666666
letter-recog,200,20,5,6,0.9577,0.0028284271247461927,0.9557,0.9988,1.1792233333333333
letter-recog,200,20,5,8,0.9540333333333333,0.004099864496405826,0.9485,0.9987666666666667,1.528904
letter-recog,200,30,2,2,0.9625666666666666,0.0028592928418676483,0.959,0.9999666666666668,0.5140696666666666
letter-recog,200,30,2,4,0.9638333333333334,0.0016996731711975965,0.9615,0.9999666666666668,0.841409
letter-recog,200,30,2,6,0.9611666666666667,0.003363860216411437,0.9565,1.0,1.237951
letter-recog,200,30,2,8,0.9595666666666666,0.0021853044537444894,0.9567,1.0,1.5640243333333335
letter-recog,200,30,5,2,0.9612333333333334,0.0017913371790059117,0.9595,0.9996666666666667,0.49915466666666664
letter-recog,200,30,5,4,0.9607333333333333,0.002641127705272064,0.957,0.9997333333333334,0.8265743333333333
letter-recog,200,30,5,6,0.9601000000000001,0.003047403266170536,0.956,0.9998,1.1876443333333333
letter-recog,200,30,5,8,0.9573333333333333,0.002900957696271249,0.9533,0.9998333333333335,1.599862
letter-recog,300,12,2,2,0.8862333333333333,0.0007133644853010995,0.8855,0.9325666666666667,0.5853286666666667
letter-recog,300,12,2,4,0.8938333333333333,0.002425329301810856,0.8905,0.9341333333333334,1.020746
letter-recog,300,12,2,6,0.8917999999999999,0.002952964612046673,0.888,0.9271666666666666,1.701064
letter-recog,300,12,2,8,0.8818,0.00412148840428634,0.8762,0.9182333333333333,2.5718713333333336
letter-recog,300,12,5,2,0.8843333333333333,0.0017461067804945228,0.883,0.9294333333333333,0.657347
letter-recog,300,12,5,4,0.8940666666666667,0.0036160137659521615,0.889,0.9335999999999999,1.2261993333333334
letter-recog,300,12,5,6,0.8894000000000001,0.0037665191711534892,0.8842,0.9251999999999999,1.9422526666666666
letter-recog,300,12,5,8,0.8830333333333332,0.004371371511195158,0.8778,0.9188999999999999,2.1692549999999997
letter-recog,300,20,2,2,0.9588333333333333,0.002592724864350703,0.957,0.9992666666666666,0.7858926666666667
letter-recog,300,20,2,4,0.9616000000000001,0.0017378147196982642,0.9593,0.9996666666666667,1.3494833333333334
letter-recog,300,20,2,6,0.9577,0.0031496031496047205,0.9533,0.9996333333333333,1.8349823333333333
letter-recog,300,20,2,8,0.9571000000000001,0.0026981475126464293,0.9537,0.9995333333333334,2.6158673333333335
letter-recog,300,20,5,2,0.9566666666666667,0.0014884742374510888,0.9547,0.9984999999999999,0.7675793333333333
letter-recog,300,20,5,4,0.9600666666666666,0.0018553226733434565,0.958,0.9991,1.3193393333333334
letter-recog,300,20,5,6,0.9576666666666668,0.0022543784558547784,0.9553,0.9989,1.827606
letter-recog,300,20,5,8,0.9541666666666666,0.0038447655614123094,0.9493,0.9989666666666667,2.326257
letter-recog,300,30,2,2,0.9629,0.0033346664001066236,0.9597,0.9999666666666668,0.6996416666666666
letter-recog,300,30,2,4,0.9642333333333334,0.0019067132861433633,0.9617,1.0,1.1256856666666666
letter-recog,300,30,2,6,0.9615,0.0032403703492039503,0.957,1.0,1.6402306666666666
letter-recog,300,30,2,8,0.9601000000000001,0.00259229627936315,0.9565,1.0,1.9940703333333334
letter-recog,300,30,5,2,0.9609333333333333,0.0014055445761539016,0.959,0.9997000000000001,0.621642
letter-recog,300,30,5,4,0.9620666666666667,0.0017820088539498126,0.9597,0.9997000000000001,1.0710879999999998
letter-recog,300,30,5,6,0.9611000000000001,0.002981051268708196,0.957,0.9997666666666666,1.5609416666666664
letter-recog,300,30,5,8,0.9571666666666667,0.0018856180831641285,0.9545,0.9998333333333335,2.2219693333333335
