dataset,trees,max_depth,min_samples,mtry,mean_test_acc,std_test_acc,min_test_acc,mean_train_acc,mean_train_s
iris,100,4,2,1,0.9400000000000001,0.024962211440495406,0.9,0.97834,0.0022398
iris,100,4,2,2,0.9400000000000001,0.024962211440495406,0.9,0.9933400000000001,0.0020428
iris,100,4,2,3,0.9533200000000001,0.026685007026418402,0.9333,0.99834,0.0021698000000000004
iris,100,4,2,4,0.9533200000000001,0.026685007026418402,0.9333,0.99834,0.002402
iris,100,4,5,1,0.9400000000000001,0.024962211440495406,0.9,0.97668,0.0034402
iris,100,4,5,2,0.9400000000000001,0.024962211440495406,0.9,0.99168,0.002129
iris,100,4,5,3,0.94666,0.03400262342820035,0.9,0.99002,0.0020544
iris,100,4,5,4,0.9533200000000001,0.026685007026418402,0.9333,0.99002,0.0022578
iris,100,8,2,1,0.9333199999999999,0.02109240621645619,0.9,1.0,0.0021844000000000004
iris,100,8,2,2,0.94666,0.016362591481791623,0.9333,1.0,0.0023214
iris,100,8,2,3,0.9533200000000001,0.026685007026418402,0.9333,1.0,0.0021104
iris,100,8,2,4,0.9400000000000001,0.024962211440495406,0.9,1.0,0.002203
iris,100,8,5,1,0.9333199999999999,0.02109240621645619,0.9,0.99834,0.0022498
iris,100,8,5,2,0.9400000000000001,0.024962211440495406,0.9,0.99834,0.0022657999999999997
iris,100,8,5,3,0.94666,0.03400262342820035,0.9,0.99336,0.0028058
iris,100,8,5,4,0.94666,0.016362591481791623,0.9333,0.99502,0.002293
iris,100,12,2,1,0.9333199999999999,0.02109240621645619,0.9,1.0,0.0023184
iris,100,12,2,2,0.94666,0.016362591481791623,0.9333,1.0,0.0020912
iris,100,12,2,3,0.9533200000000001,0.026685007026418402,0.9333,1.0,0.002195
iris,100,12,2,4,0.9400000000000001,0.024962211440495406,0.9,1.0,0.0022512
iris,100,12,5,1,0.9333199999999999,0.02109240621645619,0.9,0.9966799999999999,0.0021996000000000003
iris,100,12,5,2,0.9400000000000001,0.024962211440495406,0.9,0.99834,0.0022442
iris,100,12,5,3,0.94666,0.03400262342820035,0.9,0.99336,0.0021582
iris,100,12,5,4,0.94666,0.016362591481791623,0.9333,0.99502,0.0022122
iris,100,16,2,1,0.9333199999999999,0.02109240621645619,0.9,1.0,0.0024434
iris,100,16,2,2,0.94666,0.016362591481791623,0.9333,1.0,0.0020844
iris,100,16,2,3,0.9533200000000001,0.026685007026418402,0.9333,1.0,0.0024426
iris,100,16,2,4,0.9400000000000001,0.024962211440495406,0.9,1.0,0.0022716
iris,100,16,5,1,0.9333199999999999,0.02109240621645619,0.9,0.9966799999999999,0.0022264
iris,100,16,5,2,0.9400000000000001,0.024962211440495406,0.9,0.99834,0.0023150000000000002
iris,100,16,5,3,0.94666,0.03400262342820035,0.9,0.99336,0.0020652
iris,100,16,5,4,0.94666,0.016362591481791623,0.9333,0.99502,0.0021532
iris,200,4,2,1,0.9400000000000001,0.024962211440495406,0.9,0.98666,0.002646
iris,200,4,2,2,0.9533200000000001,0.026685007026418402,0.9333,0.99502,0.0027619999999999997
iris,200,4,2,3,0.9533200000000001,0.026685007026418402,0.9333,0.99834,0.0028582
iris,200,4,2,4,0.9533200000000001,0.026685007026418402,0.9333,0.99834,0.0028104000000000002
iris,200,4,5,1,0.9333199999999999,0.02109240621645619,0.9,0.97998,0.0027974
iris,200,4,5,2,0.9533200000000001,0.026685007026418402,0.9333,0.9933400000000001,0.0025926
iris,200,4,5,3,0.9533200000000001,0.026685007026418402,0.9333,0.99002,0.0026585999999999997
iris,200,4,5,4,0.9533200000000001,0.026685007026418402,0.9333,0.99002,0.0028426
iris,200,8,2,1,0.9333199999999999,0.02109240621645619,0.9,1.0,0.0028513999999999996
iris,200,8,2,2,0.94666,0.016362591481791623,0.9333,1.0,0.0028018
iris,200,8,2,3,0.9533200000000001,0.026685007026418402,0.9333,1.0,0.0026798000000000004
iris,200,8,2,4,0.9533200000000001,0.026685007026418402,0.9333,1.0,0.0028742
iris,200,8,5,1,0.9333199999999999,0.02109240621645619,0.9,0.99834,0.0028988
iris,200,8,5,2,0.9533200000000001,0.026685007026418402,0.9333,0.99834,0.0027364
iris,200,8,5,3,0.9533200000000001,0.026685007026418402,0.9333,0.99834,0.002628
iris,200,8,5,4,0.9533200000000001,0.026685007026418402,0.9333,0.99834,0.0036876
iris,200,12,2,1,0.9333199999999999,0.02109240621645619,0.9,1.0,0.0028488
iris,200,12,2,2,0.94666,0.016362591481791623,0.9333,1.0,0.0026746
iris,200,12,2,3,0.9533200000000001,0.026685007026418402,0.9333,1.0,0.0029386000000000004
iris,200,12,2,4,0.9533200000000001,0.026685007026418402,0.9333,1.0,0.0029372
iris,200,12,5,1,0.9333199999999999,0.02109240621645619,0.9,0.99834,0.0028254
iris,200,12,5,2,0.9533200000000001,0.026685007026418402,0.9333,0.99834,0.0027028
iris,200,12,5,3,0.9533200000000001,0.026685007026418402,0.9333,0.99834,0.0028656000000000003
iris,200,12,5,4,0.9533200000000001,0.026685007026418402,0.9333,0.99834,0.003067
iris,200,16,2,1,0.9333199999999999,0.02109240621645619,0.9,1.0,0.0027660000000000002
iris,200,16,2,2,0.94666,0.016362591481791623,0.9333,1.0,0.002701
iris,200,16,2,3,0.9533200000000001,0.026685007026418402,0.9333,1.0,0.0028154
iris,200,16,2,4,0.9533200000000001,0.026685007026418402,0.9333,1.0,0.0029468000000000003
iris,200,16,5,1,0.9333199999999999,0.02109240621645619,0.9,0.99834,0.0029392000000000003
iris,200,16,5,2,0.9533200000000001,0.026685007026418402,0.9333,0.99834,0.0027549999999999996
iris,200,16,5,3,0.9533200000000001,0.026685007026418402,0.9333,0.99834,0.0026496
iris,200,16,5,4,0.9533200000000001,0.026685007026418402,0.9333,0.99834,0.00298
iris,300,4,2,1,0.9333199999999999,0.02109240621645619,0.9,0.9867000000000001,0.0031934000000000003
iris,300,4,2,2,0.9533200000000001,0.026685007026418402,0.9333,0.99502,0.0030814
iris,300,4,2,3,0.9533200000000001,0.026685007026418402,0.9333,0.99834,0.0031536000000000003
iris,300,4,2,4,0.9533200000000001,0.026685007026418402,0.9333,0.99834,0.003808
iris,300,4,5,1,0.9333199999999999,0.02109240621645619,0.9,0.9833399999999999,0.003094
iris,300,4,5,2,0.9533200000000001,0.026685007026418402,0.9333,0.9933400000000001,0.0030086
iris,300,4,5,3,0.94666,0.03400262342820035,0.9,0.99336,0.0033394
iris,300,4,5,4,0.9533200000000001,0.026685007026418402,0.9333,0.99502,0.0034582000000000002
iris,300,8,2,1,0.9333199999999999,0.02109240621645619,0.9,1.0,0.0031918000000000003
iris,300,8,2,2,0.94666,0.016362591481791623,0.9333,1.0,0.0032084
iris,300,8,2,3,0.9533200000000001,0.026685007026418402,0.9333,1.0,0.0032349999999999996
iris,300,8,2,4,0.9533200000000001,0.026685007026418402,0.9333,1.0,0.0035402000000000003
iris,300,8,5,1,0.9333199999999999,0.02109240621645619,0.9,0.99834,0.0037451999999999997
iris,300,8,5,2,0.9533200000000001,0.026685007026418402,0.9333,1.0,0.0031025999999999996
iris,300,8,5,3,0.9533200000000001,0.026685007026418402,0.9333,0.99834,0.0032619999999999997
iris,300,8,5,4,0.9533200000000001,0.026685007026418402,0.9333,0.99502,0.0036394
iris,300,12,2,1,0.9333199999999999,0.02109240621645619,0.9,1.0,0.003468
iris,300,12,2,2,0.94666,0.016362591481791623,0.9333,1.0,0.0031466000000000003
iris,300,12,2,3,0.9533200000000001,0.026685007026418402,0.9333,1.0,0.003248
iris,300,12,2,4,0.9533200000000001,0.026685007026418402,0.9333,1.0,0.0036222000000000003
iris,300,12,5,1,0.9333199999999999,0.02109240621645619,0.9,0.99834,0.0032892
iris,300,12,5,2,0.9533200000000001,0.026685007026418402,0.9333,1.0,0.0029262
iris,300,12,5,3,0.9533200000000001,0.026685007026418402,0.9333,0.99834,0.0034360000000000003
iris,300,12,5,4,0.9533200000000001,0.026685007026418402,0.9333,0.99502,0.0037112
iris,300,16,2,1,0.9333199999999999,0.02109240621645619,0.9,1.0,0.0031329999999999995
iris,300,16,2,2,0.94666,0.016362591481791623,0.9333,1.0,0.003038
iris,300,16,2,3,0.9533200000000001,0.026685007026418402,0.9333,1.0,0.0034473999999999998
iris,300,16,2,4,0.9533200000000001,0.026685007026418402,0.9333,1.0,0.0037297999999999997
iris,300,16,5,1,0.9333199999999999,0.02109240621645619,0.9,0.99834,0.003347
iris,300,16,5,2,0.9533200000000001,0.026685007026418402,0.9333,1.0,0.0031504000000000002
iris,300,16,5,3,0.9533200000000001,0.026685007026418402,0.9333,0.99834,0.0034641999999999997
iris,300,16,5,4,0.9533200000000001,0.026685007026418402,0.9333,0.99502,0.0035088000000000003
breast-cancer,100,6,2,3,0.97018,0.011936900770300513,0.9561,0.99604,0.0075845999999999995
breast-cancer,100,6,2,5,0.9736800000000001,0.012416827292025945,0.9561,0.99692,0.0121612
breast-cancer,100,6,2,8,0.97018,0.011936900770300513,0.9561,0.99692,0.0167286
breast-cancer,100,6,2,11,0.97542,0.01403501335945214,0.9561,0.99692,0.0220298
breast-cancer,100,6,2,15,0.9719200000000001,0.014052530021316467,0.9561,0.9973599999999999,0.0335104
breast-cancer,100,6,5,3,0.97194,0.010262475334927764,0.9561,0.99604,0.0076219999999999994
breast-cancer,100,6,5,5,0.9719200000000001,0.014052530021316467,0.9561,0.99604,0.010676
breast-cancer,100,6,5,8,0.97546,0.0065853170007221596,0.9649,0.99692,0.015944
breast-cancer,100,6,5,11,0.9736800000000001,0.012416827292025945,0.9561,0.99692,0.022992000000000002
breast-cancer,100,6,5,15,0.9701599999999999,0.014268791119082252,0.9561,0.99648,0.0305046
breast-cancer,100,10,2,3,0.9771799999999999,0.011889726657917744,0.9649,0.99956,0.0075726000000000005
breast-cancer,100,10,2,5,0.9754400000000001,0.011647420315245788,0.9561,0.99956,0.0117418
breast-cancer,100,10,2,8,0.96844,0.014268791119082252,0.9474,0.99956,0.017375
breast-cancer,100,10,2,11,0.9771799999999999,0.013127893966665029,0.9561,0.99956,0.024901799999999998
breast-cancer,100,10,2,15,0.97018,0.008974274343923332,0.9561,0.99956,0.030784
breast-cancer,100,10,5,3,0.9701599999999999,0.013138584398632918,0.9561,0.9991199999999999,0.007921000000000001
breast-cancer,100,10,5,5,0.9719200000000001,0.014052530021316467,0.9561,0.9991199999999999,0.0116106
breast-cancer,100,10,5,8,0.97546,0.0065853170007221596,0.9649,0.9991199999999999,0.0171526
breast-cancer,100,10,5,11,0.9736800000000001,0.012416827292025945,0.9561,0.99868,0.0234234
breast-cancer,100,10,5,15,0.9684200000000001,0.015285993588903531,0.9474,0.9991199999999999,0.035738
breast-cancer,100,14,2,3,0.9771799999999999,0.011889726657917744,0.9649,0.99956,0.0084192
breast-cancer,100,14,2,5,0.9754400000000001,0.011647420315245788,0.9561,0.99956,0.011439399999999999
breast-cancer,100,14,2,8,0.96844,0.014268791119082252,0.9474,0.99956,0.016875
breast-cancer,100,14,2,11,0.9771799999999999,0.013127893966665029,0.9561,0.99956,0.0223282
breast-cancer,100,14,2,15,0.97018,0.008974274343923332,0.9561,0.99956,0.030632
breast-cancer,100,14,5,3,0.9701599999999999,0.013138584398632918,0.9561,0.9991199999999999,0.007262599999999999
breast-cancer,100,14,5,5,0.9719200000000001,0.014052530021316467,0.9561,0.9991199999999999,0.0106202
breast-cancer,100,14,5,8,0.97546,0.0065853170007221596,0.9649,0.9991199999999999,0.0173088
breast-cancer,100,14,5,11,0.9736800000000001,0.012416827292025945,0.9561,0.99868,0.028272799999999997
breast-cancer,100,14,5,15,0.9684200000000001,0.015285993588903531,0.9474,0.9991199999999999,0.033033
breast-cancer,100,20,2,3,0.9771799999999999,0.011889726657917744,0.9649,0.99956,0.0080734
breast-cancer,100,20,2,5,0.9754400000000001,0.011647420315245788,0.9561,0.99956,0.010670599999999999
breast-cancer,100,20,2,8,0.96844,0.014268791119082252,0.9474,0.99956,0.0204948
breast-cancer,100,20,2,11,0.9771799999999999,0.013127893966665029,0.9561,0.99956,0.0240128
breast-cancer,100,20,2,15,0.97018,0.008974274343923332,0.9561,0.99956,0.0314698
breast-cancer,100,20,5,3,0.9701599999999999,0.013138584398632918,0.9561,0.9991199999999999,0.007688599999999999
breast-cancer,100,20,5,5,0.9719200000000001,0.014052530021316467,0.9561,0.9991199999999999,0.0124592
breast-cancer,100,20,5,8,0.97546,0.0065853170007221596,0.9649,0.9991199999999999,0.0177034
breast-cancer,100,20,5,11,0.9736800000000001,0.012416827292025945,0.9561,0.99868,0.024024
breast-cancer,100,20,5,15,0.9684200000000001,0.015285993588903531,0.9474,0.9991199999999999,0.0308222
breast-cancer,200,6,2,3,0.97018,0.011936900770300513,0.9561,0.9955999999999999,0.013216
breast-cancer,200,6,2,5,0.9719200000000001,0.014052530021316467,0.9561,0.99692,0.0209192
breast-cancer,200,6,2,8,0.97194,0.010262475334927764,0.9561,0.99692,0.0317048
breast-cancer,200,6,2,11,0.97366,0.01569720994317144,0.9561,0.9978,0.0442516
breast-cancer,200,6,2,15,0.97018,0.011936900770300513,0.9561,0.9978,0.0629866
breast-cancer,200,6,5,3,0.97194,0.010262475334927764,0.9561,0.99472,0.014890800000000001
breast-cancer,200,6,5,5,0.9736800000000001,0.012416827292025945,0.9561,0.9955999999999999,0.0210144
breast-cancer,200,6,5,8,0.9737,0.009639917012090956,0.9561,0.99648,0.036620200000000006
breast-cancer,200,6,5,11,0.97018,0.01626768576042702,0.9474,0.9973599999999999,0.0442032
breast-cancer,200,6,5,15,0.97018,0.011936900770300513,0.9561,0.9973599999999999,0.06426319999999999
breast-cancer,200,10,2,3,0.9736800000000001,0.0110996216151723,0.9649,1.0,0.0145956
breast-cancer,200,10,2,5,0.9719200000000001,0.014052530021316467,0.9561,1.0,0.0213802
breast-cancer,200,10,2,8,0.97018,0.011936900770300513,0.9561,1.0,0.0351298
breast-cancer,200,10,2,11,0.9771799999999999,0.013127893966665029,0.9561,1.0,0.049902800000000004
breast-cancer,200,10,2,15,0.9719200000000001,0.014052530021316467,0.9561,1.0,0.064159
breast-cancer,200,10,5,3,0.9736800000000001,0.012416827292025945,0.9561,0.99956,0.014665000000000001
breast-cancer,200,10,5,5,0.9719200000000001,0.014052530021316467,0.9561,0.99956,0.0227748
